,data,size,fold,cores,duration,cpu,noncpu,avemem,maxmem
9,pf2,7679116,10,24,416,5819.0,4581.0,4265.58 MB,16483 MB
0,pf3,7679116,1,1,4398,4962.0,3834.0,596.54 MB,1114 MB
7,pf3,7679116,2,1,84,11.01,156.99,197.88 MB,260 MB
14,pf3,7679116,3,1,6359,5948.0,6770.0,718.40 MB,1193 MB
21,pf3,7679116,4,1,1612,1878.12,1345.88,340.27 MB,781 MB
28,pf3,7679116,5,1,4321,5363.0,3279.0,609.15 MB,1049 MB
35,pf3,7679116,6,1,5780,5380.0,6180.0,670.44 MB,1143 MB
42,pf3,7679116,7,1,1807,1865.0,1749.0,319.67 MB,788 MB
49,pf3,7679116,8,1,5319,4892.0,5746.0,719.85 MB,1159 MB
56,pf3,7679116,9,1,2826,2300.0,3352.0,392.57 MB,865 MB
63,pf3,7679116,10,1,4065,5051.0,3079.0,541.08 MB,996 MB
1,pf3,7679116,1,2,3296,5313.0,4575.0,900.55 MB,1865 MB
8,pf3,7679116,2,2,3075,4934.0,4291.0,989.85 MB,1885 MB
15,pf3,7679116,3,2,3198,5135.0,4459.0,1009.83 MB,1961 MB
22,pf3,7679116,4,2,1154,1865.0,1597.0,569.74 MB,1084 MB
29,pf3,7679116,5,2,3243,5276.0,4453.0,977.37 MB,1959 MB
36,pf3,7679116,6,2,1487,2272.0,2189.0,562.62 MB,1437 MB
43,pf3,7679116,7,2,2833,4534.0,3965.0,1037.02 MB,2024 MB
50,pf3,7679116,8,2,1740,2296.0,2924.0,513.29 MB,1444 MB
57,pf3,7679116,9,2,1513,1962.0,2577.0,453.94 MB,1486 MB
64,pf3,7679116,10,2,1502,2014.0,2492.0,436.32 MB,1392 MB
2,pf3,7679116,1,4,1638,5078.0,3112.0,1632.12 MB,3095 MB
9,pf3,7679116,2,4,1823,4665.0,4450.0,1361.72 MB,3638 MB
16,pf3,7679116,3,4,1613,2285.0,5780.0,690.89 MB,3025 MB
23,pf3,7679116,4,4,828,1873.0,2267.0,935.07 MB,2157 MB
30,pf3,7679116,5,4,1596,4528.0,3452.0,1514.78 MB,3460 MB
37,pf3,7679116,6,4,1899,5047.0,4448.0,1240.27 MB,3426 MB
44,pf3,7679116,7,4,2297,5135.0,6350.0,1292.58 MB,3548 MB
51,pf3,7679116,8,4,793,2141.0,1824.0,888.81 MB,2904 MB
58,pf3,7679116,9,4,871,2283.0,2072.0,1103.34 MB,2989 MB
65,pf3,7679116,10,4,549,1846.0,899.0,927.67 MB,2787 MB
3,pf3,7679116,1,8,1185,5219.0,5446.0,2177.54 MB,6782 MB
10,pf3,7679116,2,8,1222,5256.0,5742.0,2416.65 MB,6549 MB
17,pf3,7679116,3,8,1193,4989.0,5748.0,2284.67 MB,6633 MB
24,pf3,7679116,4,8,1150,5063.0,5287.0,1898.63 MB,6164 MB
31,pf3,7679116,5,8,620,1883.0,3697.0,1211.34 MB,5047 MB
38,pf3,7679116,6,8,95,13.62,841.38,191.38 MB,329 MB
45,pf3,7679116,7,8,585,1884.0,3381.0,1113.22 MB,4525 MB
52,pf3,7679116,8,8,407,2259.1,1403.9,1644.33 MB,5009 MB
59,pf3,7679116,9,8,793,5287.0,1850.0,2909.71 MB,4844 MB
66,pf3,7679116,10,8,345,1856.94,1248.06,1359.21 MB,5455 MB
4,pf3,7679116,1,16,988,4874.0,11922.0,3166.85 MB,9591 MB
11,pf3,7679116,2,16,148,10.71,2505.29,234.13 MB,353 MB
18,pf3,7679116,3,16,508,4760.0,3876.0,3520.54 MB,11190 MB
25,pf3,7679116,4,16,78,11.48,1314.52,106.30 MB,523 MB
32,pf3,7679116,5,16,171,1839.0,1068.0,2000.96 MB,9058 MB
39,pf3,7679116,6,16,766,5411.0,7611.0,3018.08 MB,9482 MB
